WaveLength(nm) ,Level(dBm)
730.00000      ,-75.200       
730.13000      ,-77.922       
730.26000      ,-77.968       
730.39000      ,-77.635       
730.52000      ,-81.193       
730.65000      ,-77.239       
730.78000      ,-76.534       
730.91000      ,-79.641       
731.04000      ,-76.506       
731.17000      ,-78.171       
731.30000      ,-80.462       
731.43000      ,-76.538       
731.56000      ,-81.390       
731.69000      ,-77.980       
731.82000      ,-75.542       
731.95000      ,-77.878       
732.08000      ,-75.272       
732.21000      ,-80.029       
732.34000      ,-76.309       
732.47000      ,-76.533       
732.60000      ,-78.549       
732.73000      ,-78.568       
732.86000      ,-75.815       
732.99000      ,-76.378       
733.12000      ,-75.933       
733.25000      ,-77.179       
733.38000      ,-77.090       
733.51000      ,-75.643       
733.64000      ,-81.125       
733.77000      ,-76.496       
733.90000      ,-78.157       
734.03000      ,-81.582       
734.16000      ,-79.941       
734.29000      ,-77.524       
734.42000      ,-77.916       
734.55000      ,-78.169       
734.68000      ,-77.324       
734.81000      ,-76.595       
734.94000      ,-78.452       
735.07000      ,-77.711       
735.20000      ,-77.200       
735.33000      ,-80.882       
735.46000      ,-77.631       
735.59000      ,-80.349       
735.72000      ,-76.831       
735.85000      ,-79.931       
735.98000      ,-77.065       
736.11000      ,-75.829       
736.24000      ,-76.622       
736.37000      ,-79.939       
736.50000      ,-76.509       
736.63000      ,-77.423       
736.76000      ,-78.240       
736.89000      ,-78.643       
737.02000      ,-77.742       
737.15000      ,-78.793       
737.28000      ,-77.559       
737.41000      ,-79.077       
737.54000      ,-78.378       
737.67000      ,-77.766       
737.80000      ,-81.962       
737.93000      ,-79.121       
738.06000      ,-77.288       
738.19000      ,-77.106       
738.32000      ,-78.692       
738.45000      ,-76.056       
738.58000      ,-78.856       
738.71000      ,-78.734       
738.84000      ,-76.377       
738.97000      ,-74.690       
739.10000      ,-81.680       
739.23000      ,-81.010       
739.36000      ,-79.987       
739.49000      ,-77.262       
739.62000      ,-77.464       
739.75000      ,-76.708       
739.88000      ,-79.559       
740.01000      ,-77.021       
740.14000      ,-80.928       
740.27000      ,-77.879       
740.40000      ,-77.952       
740.53000      ,-77.957       
740.66000      ,-76.751       
740.79000      ,-77.779       
740.92000      ,-76.360       
741.05000      ,-79.013       
741.18000      ,-76.691       
741.31000      ,-82.125       
741.44000      ,-78.460       
741.57000      ,-80.348       
741.70000      ,-78.490       
741.83000      ,-76.820       
741.96000      ,-79.172       
742.09000      ,-80.904       
742.22000      ,-76.880       
742.35000      ,-75.708       
742.48000      ,-77.157       
742.61000      ,-75.394       
742.74000      ,-77.872       
742.87000      ,-79.658       
743.00000      ,-79.290       
743.13000      ,-77.454       
743.26000      ,-78.604       
743.39000      ,-77.111       
743.52000      ,-80.313       
743.65000      ,-78.320       
743.78000      ,-75.713       
743.91000      ,-79.115       
744.04000      ,-79.783       
744.17000      ,-76.670       
744.30000      ,-79.302       
744.43000      ,-76.588       
744.56000      ,-78.114       
744.69000      ,-77.239       
744.82000      ,-80.563       
744.95000      ,-79.739       
745.08000      ,-77.913       
745.21000      ,-76.754       
745.34000      ,-76.938       
745.47000      ,-80.354       
745.60000      ,-76.903       
745.73000      ,-80.275       
745.86000      ,-77.056       
745.99000      ,-77.762       
746.12000      ,-77.476       
746.25000      ,-77.386       
746.38000      ,-84.192       
746.51000      ,-78.481       
746.64000      ,-78.756       
746.77000      ,-79.285       
746.90000      ,-82.401       
747.03000      ,-77.126       
747.16000      ,-77.573       
747.29000      ,-75.854       
747.42000      ,-77.666       
747.55000      ,-79.382       
747.68000      ,-78.696       
747.81000      ,-76.645       
747.94000      ,-78.801       
748.07000      ,-78.187       
748.20000      ,-77.549       
748.33000      ,-76.553       
748.46000      ,-75.490       
748.59000      ,-77.935       
